	filename	mri_spacing	seg_spacing	mri_size	seg_size	max_label
179	topcow_mr_055	(0.390625, 0.390625, 0.5000016093254089)	(0.390625, 0.390625, 0.5000016093254089)	(392, 467, 140)	(392, 467, 140)	12
180	topcow_mr_056	(0.296875, 0.296875, 0.6000027060508728)	(0.296875, 0.296875, 0.6000027060508728)	(474, 611, 189)	(474, 611, 189)	15
181	topcow_mr_057	(0.2968749701976776, 0.296875, 0.6000025868415833)	(0.2968749701976776, 0.296875, 0.6000025868415833)	(517, 602, 189)	(517, 602, 189)	12
182	topcow_mr_058	(0.296875, 0.296875, 0.5999988317489624)	(0.296875, 0.296875, 0.5999988317489624)	(485, 571, 184)	(485, 571, 184)	12
183	topcow_mr_059	(0.296875, 0.2968749701976776, 0.5999983549118042)	(0.296875, 0.2968749701976776, 0.5999983549118042)	(504, 580, 179)	(504, 580, 179)	12
184	topcow_mr_060	(0.328125, 0.328125, 0.8000002503395081)	(0.328125, 0.328125, 0.8000002503395081)	(478, 505, 138)	(478, 505, 138)	12
185	topcow_mr_061	(0.296875, 0.296875, 0.600001871585846)	(0.296875, 0.296875, 0.600001871585846)	(469, 606, 194)	(469, 606, 194)	12
186	topcow_mr_062	(0.3125, 0.3125, 0.5999994874000549)	(0.3125, 0.3125, 0.5999994874000549)	(477, 564, 199)	(477, 564, 199)	12
187	topcow_mr_063	(0.296875, 0.2968750298023224, 0.5999993681907654)	(0.296875, 0.2968750298023224, 0.5999993681907654)	(451, 546, 191)	(451, 546, 191)	12
188	topcow_mr_064	(0.296875, 0.296875, 0.6000036597251892)	(0.296875, 0.296875, 0.6000036597251892)	(458, 580, 184)	(458, 580, 184)	12
189	topcow_mr_065	(0.296875, 0.296875, 0.6000073552131653)	(0.296875, 0.296875, 0.6000073552131653)	(480, 526, 186)	(480, 526, 186)	12
190	topcow_mr_066	(0.296875, 0.296875, 0.59999680519104)	(0.296875, 0.296875, 0.59999680519104)	(459, 625, 174)	(459, 625, 174)	12
191	topcow_mr_067	(0.296875, 0.296875, 0.6000012755393982)	(0.296875, 0.296875, 0.6000012755393982)	(495, 582, 186)	(495, 582, 186)	12
192	topcow_mr_068	(0.3906250298023224, 0.390625, 0.6000000834465027)	(0.3906250298023224, 0.390625, 0.6000000834465027)	(372, 452, 160)	(372, 452, 160)	12
193	topcow_mr_069	(0.296875, 0.296875, 0.5999972224235535)	(0.296875, 0.296875, 0.5999972224235535)	(453, 566, 181)	(453, 566, 181)	12
194	topcow_mr_070	(0.296875, 0.296875, 0.5999984741210938)	(0.296875, 0.296875, 0.5999984741210938)	(440, 627, 243)	(440, 627, 243)	12
195	topcow_mr_071	(0.296875, 0.296875, 0.5999942421913147)	(0.296875, 0.296875, 0.5999942421913147)	(490, 576, 200)	(490, 576, 200)	15
196	topcow_mr_072	(0.296875, 0.296875, 0.5999882221221924)	(0.296875, 0.296875, 0.5999882221221924)	(459, 525, 189)	(459, 525, 189)	12
197	topcow_mr_073	(0.296875, 0.296875, 0.6000021696090698)	(0.296875, 0.296875, 0.6000021696090698)	(495, 607, 194)	(495, 607, 194)	12
198	topcow_mr_074	(0.296875, 0.2968750298023224, 0.5999985933303833)	(0.296875, 0.2968750298023224, 0.5999985933303833)	(458, 627, 179)	(458, 627, 179)	12
199	topcow_mr_075	(0.2968750298023224, 0.296875, 0.6000000238418579)	(0.2968750298023224, 0.296875, 0.6000000238418579)	(474, 571, 194)	(474, 571, 194)	12
200	topcow_mr_076	(0.296875, 0.296875, 0.6000004410743713)	(0.296875, 0.296875, 0.6000004410743713)	(469, 561, 200)	(469, 561, 200)	12
201	topcow_mr_077	(0.296875, 0.296875, 0.5999984741210938)	(0.296875, 0.296875, 0.5999984741210938)	(520, 631, 175)	(520, 631, 175)	15
202	topcow_mr_078	(0.2968750298023224, 0.296875, 0.6000002026557922)	(0.2968750298023224, 0.296875, 0.6000002026557922)	(495, 552, 193)	(495, 552, 193)	12
203	topcow_mr_079	(0.3125, 0.3125, 0.5499998331069946)	(0.3125, 0.3125, 0.5499998331069946)	(461, 539, 187)	(461, 539, 187)	12
204	topcow_mr_080	(0.296875, 0.296875, 0.599998414516449)	(0.296875, 0.296875, 0.599998414516449)	(448, 576, 181)	(448, 576, 181)	12
205	topcow_mr_081	(0.296875, 0.296875, 0.5999987125396729)	(0.296875, 0.296875, 0.5999987125396729)	(468, 567, 232)	(468, 567, 232)	12
206	topcow_mr_082	(0.2968750298023224, 0.296875, 0.5999933481216431)	(0.2968750298023224, 0.296875, 0.5999933481216431)	(480, 626, 175)	(480, 626, 175)	12
207	topcow_mr_083	(0.296875, 0.296875, 0.6000023484230042)	(0.296875, 0.296875, 0.6000023484230042)	(525, 571, 199)	(525, 571, 199)	12
208	topcow_mr_084	(0.296875, 0.2968750298023224, 0.5999944806098938)	(0.296875, 0.2968750298023224, 0.5999944806098938)	(469, 636, 186)	(469, 636, 186)	15
209	topcow_mr_085	(0.296875, 0.296875, 0.5999999046325684)	(0.296875, 0.296875, 0.5999999046325684)	(480, 596, 176)	(480, 596, 176)	12
210	topcow_mr_086	(0.296875, 0.296875, 0.6000045537948608)	(0.296875, 0.296875, 0.6000045537948608)	(520, 576, 184)	(520, 576, 184)	12
211	topcow_mr_087	(0.296875, 0.296875, 0.6000003218650818)	(0.296875, 0.296875, 0.6000003218650818)	(500, 577, 181)	(500, 577, 181)	12
212	topcow_mr_088	(0.2968750298023224, 0.296875, 0.6000013947486877)	(0.2968750298023224, 0.296875, 0.6000013947486877)	(450, 571, 181)	(450, 571, 181)	12
213	topcow_mr_089	(0.328125, 0.328125, 0.6000000834465027)	(0.328125, 0.328125, 0.6000000834465027)	(406, 533, 181)	(406, 533, 181)	12
214	topcow_mr_090	(0.296875, 0.296875, 0.5999982953071594)	(0.296875, 0.296875, 0.5999982953071594)	(560, 640, 219)	(560, 640, 219)	15
215	topcow_mr_131	(0.296875, 0.2968749701976776, 0.6000003814697266)	(0.296875, 0.2968749701976776, 0.6000003814697266)	(495, 577, 176)	(495, 577, 176)	12
216	topcow_mr_132	(0.296875, 0.2968749701976776, 0.5999987721443176)	(0.296875, 0.2968749701976776, 0.5999987721443176)	(453, 560, 181)	(453, 560, 181)	12
217	topcow_mr_133	(0.296875, 0.296875, 0.6000024676322937)	(0.296875, 0.296875, 0.6000024676322937)	(532, 616, 199)	(532, 616, 199)	12
218	topcow_mr_134	(0.296875, 0.296875, 0.6000010967254639)	(0.296875, 0.296875, 0.6000010967254639)	(475, 596, 176)	(475, 596, 176)	12
219	topcow_mr_135	(0.296875, 0.296875, 0.5999981760978699)	(0.296875, 0.296875, 0.5999981760978699)	(490, 577, 194)	(490, 577, 194)	12
220	topcow_mr_136	(0.296875, 0.296875, 0.6000060439109802)	(0.296875, 0.296875, 0.6000060439109802)	(499, 557, 186)	(499, 557, 186)	12
221	topcow_mr_137	(0.2968750298023224, 0.2968749701976776, 0.5999988317489624)	(0.2968750298023224, 0.2968749701976776, 0.5999988317489624)	(453, 566, 181)	(453, 566, 181)	12
222	topcow_mr_138	(0.296875, 0.296875, 0.5999937057495117)	(0.296875, 0.296875, 0.5999937057495117)	(520, 546, 177)	(520, 546, 177)	12
223	topcow_mr_139	(0.296875, 0.296875, 0.5999994874000549)	(0.296875, 0.296875, 0.5999994874000549)	(500, 566, 200)	(500, 566, 200)	12
224	topcow_mr_140	(0.296875, 0.296875, 0.6000000834465027)	(0.296875, 0.296875, 0.6000000834465027)	(490, 572, 199)	(490, 572, 199)	12
225	topcow_mr_141	(0.296875, 0.2968749701976776, 0.6000034213066101)	(0.296875, 0.2968749701976776, 0.6000034213066101)	(475, 631, 194)	(475, 631, 194)	12
226	topcow_mr_142	(0.296875, 0.296875, 0.5999960899353027)	(0.296875, 0.296875, 0.5999960899353027)	(479, 587, 174)	(479, 587, 174)	12
227	topcow_mr_143	(0.296875, 0.296875, 0.6000006198883057)	(0.296875, 0.296875, 0.6000006198883057)	(469, 616, 184)	(469, 616, 184)	12
228	topcow_mr_144	(0.296875, 0.296875, 0.6000003218650818)	(0.296875, 0.296875, 0.6000003218650818)	(464, 617, 171)	(464, 617, 171)	12
229	topcow_mr_145	(0.3515625, 0.3515625, 0.49999645352363586)	(0.3515625, 0.3515625, 0.49999645352363586)	(428, 501, 139)	(428, 501, 139)	12
230	topcow_mr_146	(0.296875, 0.2968750298023224, 0.5999999046325684)	(0.296875, 0.2968750298023224, 0.5999999046325684)	(530, 590, 190)	(530, 590, 190)	12
231	topcow_mr_147	(0.296875, 0.296875, 0.600003719329834)	(0.296875, 0.296875, 0.600003719329834)	(484, 551, 200)	(484, 551, 200)	12
232	topcow_mr_148	(0.296875, 0.296875, 0.5999984741210938)	(0.296875, 0.296875, 0.5999984741210938)	(485, 617, 164)	(485, 617, 164)	12
233	topcow_mr_149	(0.2968750298023224, 0.296875, 0.6000030040740967)	(0.2968750298023224, 0.296875, 0.6000030040740967)	(453, 612, 171)	(453, 612, 171)	12
234	topcow_mr_150	(0.296875, 0.296875, 0.6000054478645325)	(0.296875, 0.296875, 0.6000054478645325)	(454, 570, 175)	(454, 570, 175)	12
235	topcow_mr_151	(0.296875, 0.296875, 0.5999994874000549)	(0.296875, 0.296875, 0.5999994874000549)	(460, 551, 174)	(460, 551, 174)	12
236	topcow_mr_152	(0.296875, 0.296875, 0.5999985933303833)	(0.296875, 0.296875, 0.5999985933303833)	(450, 561, 171)	(450, 561, 171)	12
237	topcow_mr_153	(0.296875, 0.296875, 0.6000022292137146)	(0.296875, 0.296875, 0.6000022292137146)	(475, 607, 196)	(475, 607, 196)	12
238	topcow_mr_154	(0.3125, 0.3124999701976776, 0.650001049041748)	(0.3125, 0.3124999701976776, 0.650001049041748)	(454, 627, 236)	(454, 627, 236)	12
239	topcow_mr_155	(0.296875, 0.296875, 0.5999979376792908)	(0.296875, 0.296875, 0.5999979376792908)	(525, 561, 175)	(525, 561, 175)	12
240	topcow_mr_156	(0.296875, 0.2968750298023224, 0.5999957919120789)	(0.296875, 0.2968750298023224, 0.5999957919120789)	(464, 640, 179)	(464, 640, 179)	12
241	topcow_mr_157	(0.296875, 0.296875, 0.6000053286552429)	(0.296875, 0.296875, 0.6000053286552429)	(490, 577, 196)	(490, 577, 196)	12
242	topcow_mr_158	(0.3515625, 0.3515625, 0.5000009536743164)	(0.3515625, 0.3515625, 0.5000009536743164)	(400, 509, 152)	(400, 509, 152)	12
243	topcow_mr_159	(0.296875, 0.296875, 0.600004255771637)	(0.296875, 0.296875, 0.600004255771637)	(515, 541, 221)	(515, 541, 221)	15
244	topcow_mr_160	(0.296875, 0.2968749701976776, 0.5999971628189087)	(0.296875, 0.2968749701976776, 0.5999971628189087)	(480, 611, 174)	(480, 611, 174)	12
245	topcow_mr_161	(0.2968749701976776, 0.2968750298023224, 0.6000012755393982)	(0.2968749701976776, 0.2968750298023224, 0.6000012755393982)	(464, 580, 184)	(464, 580, 184)	12
246	topcow_mr_162	(0.296875, 0.296875, 0.599997878074646)	(0.296875, 0.296875, 0.599997878074646)	(490, 592, 200)	(490, 592, 200)	15
247	topcow_mr_163	(0.296875, 0.296875, 0.5999999642372131)	(0.296875, 0.296875, 0.5999999642372131)	(500, 590, 196)	(500, 590, 196)	12
248	topcow_mr_164	(0.3125, 0.3125000298023224, 0.5999985933303833)	(0.3125, 0.3125000298023224, 0.5999985933303833)	(449, 602, 189)	(449, 602, 189)	12
249	topcow_mr_165	(0.296875, 0.296875, 0.5999984741210938)	(0.296875, 0.296875, 0.5999984741210938)	(480, 582, 216)	(480, 582, 216)	12
